source_group,top_level,file_count,total_size_bytes,zero_byte_files,small_1kb_or_less,large_1mb_or_more,large_100mb_or_more,total_size_gib
log_0318,[log_file],133,40619184,0,40,23,0,0.0378
manifest_0318_error,Command,2,51145,0,0,0,0,0.0
manifest_0318_error,iMazing,2,2964308,0,0,1,0,0.0028
manifest_0318_error,iMazing_Attempt5m,19,1616695,0,15,1,0,0.0015
manifest_0318_error,iMazing_Evidence,17,970724,2,9,0,0,0.0009
manifest_0318_error,iMazing_Extra,3,3696921,0,1,1,0,0.0034
manifest_0318_error,iMazing_FailNow,10,24567,0,8,0,0,0.0
manifest_0318_error,iMazing_Focus,15,3839781,0,10,1,0,0.0036
manifest_0318_error,iMazing_History,18,15426976,0,8,2,0,0.0144
manifest_0318_error,iMazing_Stall,10,24551,0,8,0,0,0.0
manifest_0318_error,iMazing_Stall_Fix,10,24586,0,8,0,0,0.0
manifest_0318_error,iMazing_final_hash_2026-03-18_184432.csv,1,413,0,1,0,0,0.0
manifest_0318_snapshot,Command,3,30923,0,0,0,0,0.0
manifest_0318_snapshot,iMazing,21652,58392746851,25,8142,945,177,54.3825
manifest_0318_snapshot,iMazing_Evidence,17,923353,1,9,0,0,0.0009
manifest_0318_snapshot,iMazing_FailAfterRun,11,1314087,0,8,1,0,0.0012
manifest_0318_snapshot,iMazing_PathCheck_2026-03-18_234734,5,598,2,5,0,0,0.0
manifest_0318_snapshot,iMazing_PostFail_2026-03-18_234205,4,3265061,0,3,1,0,0.003
manifest_0318_snapshot,iMazing_Progress,2,1465574,0,1,1,0,0.0014
manifest_0318_snapshot,iMazing_Success,13,212963,0,7,0,0,0.0002
manifest_0318_snapshot,iMazing_final_hash_2026-03-19_2-010850.csv,1,279,0,1,0,0,0.0
